cu123	cu125	cu127
20743.33333333333	19801.66666666666	20073.33333333333
20911.66666666666	19901.66666666666	20408.33333333333
20838.33333333333	20016.66666666666	20268.33333333333
20640	19958.33333333333	19941.66666666666
20758.33333333333	19741.66666666666	20313.33333333333
20706.66666666666	19931.66666666666	20355
20871.66666666666	19908.33333333333	20426.66666666666
20521.66666666666	19560	20043.33333333333
20448.33333333333	19810	19931.66666666666
20981.66666666666	19768.33333333333	19796.66666666666
20590	19830	20063.33333333333
20440	19766.66666666666	20035
20683.33333333333	19796.66666666666	19833.33333333333
20900	20033.33333333333	19945
20630	20080	19725
20598.33333333333	19851.66666666666	19761.66666666666
20718.33333333333	19871.66666666666	19406.66666666666
20428.33333333333	19981.66666666666	19636.66666666666
20828.33333333333	19970	19540
20678.33333333333	20165	19773.33333333333
20565	20133.33333333333	19641.66666666666
20625	20008.33333333333	19791.66666666666
20628.33333333333	19740	19288.33333333333
20620	19781.66666666666	19168.33333333333
20463.33333333333	20033.33333333333	19366.66666666666
20786.66666666666	20191.66666666666	19396.66666666666
20750	20388.33333333333	19430
20791.66666666666	20213.33333333333	19148.33333333333
21071.66666666666	20261.66666666666	19168.33333333333
21023.33333333333	20246.66666666666	19240
20853.33333333333	19946.66666666666	18971.66666666666
20620	19950	19291.66666666666
20933.33333333333	20055	19218.33333333333
20918.33333333333	20173.33333333333	19158.33333333333
20896.66666666666	20036.66666666666	19031.66666666666
20971.66666666666	20518.33333333333	18930
20765	20253.33333333333	18800
20673.33333333333	20428.33333333333	18630
20780	20416.66666666666	18825
20760	20590	19063.33333333333
20998.33333333333	20491.66666666666	18911.66666666666
20821.66666666666	20166.66666666666	18871.66666666666
20876.66666666666	20226.66666666666	18850
20796.66666666666	20346.66666666666	18768.33333333333
21456.66666666666	20325	18738.33333333333
21176.66666666666	19986.66666666666	18981.66666666666
21196.66666666666	20150	18723.33333333333
21295	20208.33333333333	18801.66666666666
21458.33333333333	20073.33333333333	18761.66666666666
21290	20390	18761.66666666666
21270	20343.33333333333	18816.66666666666
21388.33333333333	20630	18693.33333333333
21238.33333333333	20626.66666666666	18705
21445	20465	18531.66666666666
21243.33333333333	20681.66666666666	18670
21433.33333333333	20778.33333333333	18585
21461.66666666666	20820	18778.33333333333
21618.33333333333	20735	19033.33333333333
21441.66666666666	20645	18623.33333333333
21613.33333333333	20830	18915
21806.66666666666	20896.66666666666	18775
21983.33333333333	21111.66666666666	19060
21843.33333333333	20888.33333333333	19196.66666666666
22366.66666666666	21445	19405
22343.33333333333	21651.66666666666	18970
22656.66666666666	21880	19193.33333333333
23145	22583.33333333333	19681.66666666666
23425	22858.33333333333	19721.66666666666
23480	22671.66666666666	19708.33333333333
23743.33333333333	23503.33333333333	19860
23850	23695	20083.33333333333
24661.66666666666	24511.66666666666	20275
25258.33333333333	25623.33333333333	20195
25821.66666666666	26498.33333333333	20543.33333333333
26390	27120	20550
27041.66666666666	28583.33333333333	20718.33333333333
27768.33333333333	29900	20885
28948.33333333333	31293.33333333333	20838.33333333333
29555	32381.66666666666	21341.66666666666
30821.66666666666	33888.33333333333	21620
31970	35131.66666666666	21628.33333333333
32651.66666666666	36798.33333333333	21796.66666666666
33533.33333333333	37854.99999999999	21228.33333333333
34401.66666666666	38409.99999999999	21228.33333333333
35093.33333333333	38841.66666666666	21328.33333333333
35591.66666666666	39748.33333333333	21185
35668.33333333333	39541.66666666666	21173.33333333333
35198.33333333333	39096.66666666666	20601.66666666666
34936.66666666666	38123.33333333333	20740
34448.33333333333	37058.33333333333	20603.33333333333
33664.99999999999	36243.33333333333	20411.66666666666
32423.33333333333	35111.66666666666	20210
31491.66666666666	33343.33333333333	20070
30286.66666666666	31941.66666666666	19720
29256.66666666666	30348.33333333333	19725
27913.33333333333	29473.33333333333	19440
26728.33333333333	28116.66666666666	19533.33333333333
25600	26956.66666666666	19336.66666666666
24718.33333333333	25880	19396.66666666666
23988.33333333333	24911.66666666666	18878.33333333333
23740	24231.66666666666	18915
23171.66666666666	23505	18773.33333333333
22261.66666666666	22883.33333333333	19023.33333333333
22021.66666666666	22315	18766.66666666666
21618.33333333333	21881.66666666666	18746.66666666666
20925	21486.66666666666	18560
21073.33333333333	21228.33333333333	18348.33333333333
20836.66666666666	20895	18426.66666666666
20348.33333333333	20453.33333333333	18265
20200	20038.33333333333	18223.33333333333
20118.33333333333	20098.33333333333	18326.66666666666
19971.66666666666	19868.33333333333	18275
19906.66666666666	19941.66666666666	18180
19455	19666.66666666666	18200
19705	19461.66666666666	18165
19465	19361.66666666666	17921.66666666666
19606.66666666666	19353.33333333333	17965
19501.66666666666	19345	18146.66666666666
19355	19085	18163.33333333333
19225	19233.33333333333	18405
19165	19175	18326.66666666666
19093.33333333333	19323.33333333333	17988.33333333333
19046.66666666666	18870	18150
19066.66666666666	18993.33333333333	17871.66666666666
19021.66666666666	18920	17881.66666666666
19156.66666666666	18730	18008.33333333333
19171.66666666666	18941.66666666666	18133.33333333333
19028.33333333333	19068.33333333333	18345
19133.33333333333	19160	18193.33333333333
19240	19063.33333333333	18553.33333333333
19266.66666666666	18993.33333333333	18611.66666666666
19008.33333333333	18941.66666666666	18400
19200	19085	18111.66666666666
19305	19061.66666666666	18263.33333333333
19585	19360	18700
19140	19435	18495
19601.66666666666	19846.66666666666	18831.66666666666
19546.66666666666	19776.66666666666	18878.33333333333
19451.66666666666	19765	18870
19295	19745	18701.66666666666
19425	19706.66666666666	18893.33333333333
19686.66666666666	19630	19085
19478.33333333333	19815	19035
19506.66666666666	20060	19221.66666666666
19691.66666666666	19806.66666666666	19446.66666666666
19795	19810	19386.66666666666
19615	19630	19835
19771.66666666666	19600	20023.33333333333
19823.33333333333	19640	19983.33333333333
19545	19440	19968.33333333333
19310	19530	20163.33333333333
18970	19460	20608.33333333333
19171.66666666666	19220	20621.66666666666
19336.66666666666	19196.66666666666	21060
19211.66666666666	19180	21100
18913.33333333333	19288.33333333333	21008.33333333333
19118.33333333333	18840	21366.66666666666
19103.33333333333	18945	21350
19200	18796.66666666666	21590
19220	18735	21513.33333333333
19118.33333333333	18703.33333333333	21553.33333333333
19176.66666666666	18640	21966.66666666666
19230	18673.33333333333	21878.33333333333
19200	18733.33333333333	22200
19065	18538.33333333333	22166.66666666666
19333.33333333333	18573.33333333333	22626.66666666666
19155	18333.33333333333	22600
19458.33333333333	18796.66666666666	22708.33333333333
19215	18805	22543.33333333333
19433.33333333333	18856.66666666666	22670
19405	18890	22896.66666666666
19316.66666666666	18755	22816.66666666666
19251.66666666666	18588.33333333333	22881.66666666666
19415	18640	23065
19261.66666666666	18755	23115
19446.66666666666	18666.66666666666	22818.33333333333
19510	18650	23108.33333333333
19623.33333333333	18685	23063.33333333333
19715	18470	22968.33333333333
19165	18600	22713.33333333333
19031.66666666666	18730	22593.33333333333
19008.33333333333	18575	22308.33333333333
19071.66666666666	18541.66666666666	22465
19081.66666666666	18580	22030
19165	18385	21585
19175	17915	21175
19043.33333333333	18086.66666666666	21031.66666666666
18920	17998.33333333333	20298.33333333333
18900	17861.66666666666	19881.66666666666
18606.66666666666	17823.33333333333	19568.33333333333
18323.33333333333	17326.66666666666	19311.66666666666
18341.66666666666	17330	18830
18471.66666666666	17530	18506.66666666666
18261.66666666666	17305	18076.66666666666
18221.66666666666	17176.66666666666	17671.66666666666
18243.33333333333	17538.33333333333	17695
18083.33333333333	17380	17335
17950	17186.66666666666	17128.33333333333
17763.33333333333	17141.66666666666	16830
17771.66666666666	17083.33333333333	16641.66666666666
17745	17353.33333333333	16626.66666666666
17958.33333333333	17148.33333333333	16513.33333333333
17696.66666666666	16978.33333333333	16380
17635	17031.66666666666	16381.66666666666
17461.66666666666	17143.33333333333	16386.66666666666
17381.66666666666	16881.66666666666	16370
17748.33333333333	17016.66666666666	16166.66666666666
17778.33333333333	16910	16076.66666666666
17618.33333333333	16971.66666666666	16241.66666666666
17453.33333333333	16860	16036.66666666666
17373.33333333333	16496.66666666666	15906.66666666666
17378.33333333333	16503.33333333333	15871.66666666666
17393.33333333333	16451.66666666666	15831.66666666666
16856.66666666666	16651.66666666666	15666.66666666666
16856.66666666666	16763.33333333333	15800
16820	16723.33333333333	16096.66666666666
17070	16975	15800
17093.33333333333	16835	16031.66666666666
17038.33333333333	16590	15783.33333333333
16995	16766.66666666666	15600
17201.66666666666	16806.66666666666	15645
17093.33333333333	16676.66666666666	15525
17011.66666666666	16856.66666666666	15858.33333333333
16780	16873.33333333333	15835
17011.66666666666	16566.66666666666	15685
17196.66666666666	16751.66666666666	15630
17156.66666666666	16816.66666666666	15953.33333333333
17116.66666666666	16766.66666666666	15796.66666666666
16986.66666666666	16658.33333333333	15751.66666666666
16916.66666666666	16898.33333333333	15713.33333333333
17236.66666666666	16785	15833.33333333333
17243.33333333333	16756.66666666666	15768.33333333333
17153.33333333333	16781.66666666666	15863.33333333333
17455	16756.66666666666	16008.33333333333
17451.66666666666	16863.33333333333	15928.33333333333
17606.66666666666	16800	15968.33333333333
17581.66666666666	16738.33333333333	15728.33333333333
17435	16820	15815
17453.33333333333	16565	16290
17355	16610	16143.33333333333
17305	16865	16033.33333333333
17388.33333333333	16580	16281.66666666666
17736.66666666666	16641.66666666666	16518.33333333333
17513.33333333333	16730	16396.66666666666
17611.66666666666	16561.66666666666	16368.33333333333
17623.33333333333	16736.66666666666	16511.66666666666
17591.66666666666	16398.33333333333	16338.33333333333
17628.33333333333	16631.66666666666	16411.66666666666
17466.66666666666	16576.66666666666	16651.66666666666
17710	16525	16901.66666666666
17655	16656.66666666666	16908.33333333333
17781.66666666666	16633.33333333333	17143.33333333333
17868.33333333333	16795	17295
17836.66666666666	16525	17375
18226.66666666666	16533.33333333333	17435
18115	16531.66666666666	18150
18248.33333333333	16655	18153.33333333333
18656.66666666666	16643.33333333333	18501.66666666666
18503.33333333333	16788.33333333333	18568.33333333333
19003.33333333333	16990	18805
19058.33333333333	17553.33333333333	19203.33333333333
19290	17566.66666666666	19401.66666666666
19125	17800	19456.66666666666
19638.33333333333	18460	19878.33333333333
20245	18806.66666666666	19668.33333333333
20475	19466.66666666666	19676.66666666666
21203.33333333333	20213.33333333333	19800
21853.33333333333	21283.33333333333	20221.66666666666
22738.33333333333	22628.33333333333	19615
23935	24103.33333333333	19683.33333333333
24633.33333333333	25680	19791.66666666666
26010	27905	19508.33333333333
27918.33333333333	30461.66666666666	19603.33333333333
29813.33333333333	33123.33333333333	19700
31613.33333333333	35616.66666666666	19888.33333333333
33786.66666666666	39478.33333333333	19615
36779.99999999999	43104.99999999999	19653.33333333333
39828.33333333333	47073.33333333333	19705
42331.66666666666	50724.99999999999	19695
44971.66666666666	54149.99999999999	19890
47589.99999999999	57408.33333333332	19411.66666666666
49954.99999999999	59623.33333333332	19506.66666666666
51538.33333333333	60963.33333333332	19555
52368.33333333333	61553.33333333332	19610
52216.66666666666	61344.99999999999	19761.66666666666
51928.33333333333	60328.33333333332	19871.66666666666
50336.66666666666	57911.66666666666	19585
48568.33333333333	55204.99999999999	19225
45679.99999999999	51054.99999999999	19441.66666666666
42618.33333333333	47083.33333333333	19155
39206.66666666666	43229.99999999999	19146.66666666666
35978.33333333333	39419.99999999999	19008.33333333333
33433.33333333333	36189.99999999999	19168.33333333333
30463.33333333333	32898.33333333333	19071.66666666666
27456.66666666666	30001.66666666666	18933.33333333333
25363.33333333333	27336.66666666666	18790
23715	24961.66666666666	18528.33333333333
21890	23510	18551.66666666666
20466.66666666666	21898.33333333333	18300
19248.33333333333	20291.66666666666	18161.66666666666
18518.33333333333	19306.66666666666	17858.33333333333
17835	18371.66666666666	17618.33333333333
17166.66666666666	17656.66666666666	17541.66666666666
16730	17173.33333333333	16988.33333333333
16168.33333333333	16365	16991.66666666666
16051.66666666666	15931.66666666666	16853.33333333333
15731.66666666666	15668.33333333333	16685
15140	15115	16370
14848.33333333333	15020	16143.33333333333
14718.33333333333	14641.66666666666	15971.66666666666
14671.66666666666	14140	16063.33333333333
14353.33333333333	13870	15631.66666666666
14220	13725	15643.33333333333
14283.33333333333	13621.66666666666	15573.33333333333
14203.33333333333	13300	15601.66666666666
14053.33333333333	13370	15433.33333333333
13713.33333333333	13255	15578.33333333333
13566.66666666666	13090	15526.66666666666
13803.33333333333	12688.33333333333	15515
13346.66666666666	12768.33333333333	15373.33333333333
13531.66666666666	12768.33333333333	15363.33333333333
13378.33333333333	12785	15383.33333333333
13563.33333333333	12626.66666666666	15426.66666666666
13228.33333333333	12540	15573.33333333333
12995	12368.33333333333	15520
13036.66666666666	12551.66666666666	15533.33333333333
13241.66666666666	12371.66666666666	15740
13180	12458.33333333333	15936.66666666666
13148.33333333333	12290	16001.66666666666
13161.66666666666	12340	15948.33333333333
13041.66666666666	12300	15891.66666666666
13000	12413.33333333333	16031.66666666666
13308.33333333333	12288.33333333333	16146.66666666666
13105	12225	16590
13016.66666666666	12096.66666666666	16548.33333333333
12940	12018.33333333333	16606.66666666666
13176.66666666666	12186.66666666666	16831.66666666666
13033.33333333333	12210	17241.66666666666
13071.66666666666	12131.66666666666	17425
12948.33333333333	12086.66666666666	17953.33333333333
12906.66666666666	12091.66666666666	17731.66666666666
12846.66666666666	12215	17926.66666666666
13101.66666666666	12090	18053.33333333333
13193.33333333333	12138.33333333333	18540
13000	12138.33333333333	19071.66666666666
12891.66666666666	12103.33333333333	19108.33333333333
12968.33333333333	11940	19475
12631.66666666666	11933.33333333333	19700
12901.66666666666	11981.66666666666	20013.33333333333
12651.66666666666	11811.66666666666	20301.66666666666
13045	11856.66666666666	20463.33333333333
13146.66666666666	11793.33333333333	20816.66666666666
12871.66666666666	11755	21326.66666666666
12785	11740	21726.66666666666
12695	11661.66666666666	21963.33333333333
12796.66666666666	11663.33333333333	22371.66666666666
12923.33333333333	11781.66666666666	22695
12465	12050	22913.33333333333
12811.66666666666	11761.66666666666	23085
12555	11638.33333333333	23505
12801.66666666666	11761.66666666666	23970
13028.33333333333	11785	24733.33333333333
12865	11845	24606.66666666666
12788.33333333333	12008.33333333333	24740
12628.33333333333	11935	25021.66666666666
12913.33333333333	11993.33333333333	25331.66666666666
13178.33333333333	12093.33333333333	25725
13125	12280	26060
13135	12330	26200
13195	12333.33333333333	26255
13158.33333333333	12486.66666666666	26548.33333333333
13598.33333333333	12928.33333333333	26851.66666666666
13683.33333333333	13085	27100
13798.33333333333	13151.66666666666	27403.33333333333
14218.33333333333	13601.66666666666	27761.66666666666
14213.33333333333	13723.33333333333	27425
14568.33333333333	13896.66666666666	27171.66666666666
14520	14395	26766.66666666666
14760	14325	26670
14910	14545	26266.66666666666
14840	14238.33333333333	25345
15128.33333333333	14571.66666666666	24635
14908.33333333333	14321.66666666666	23818.33333333333
14941.66666666666	14290	22688.33333333333
14626.66666666666	14121.66666666666	21738.33333333333
14571.66666666666	13850	20566.66666666666
14263.33333333333	13628.33333333333	19573.33333333333
14220	13646.66666666666	18820
14128.33333333333	13248.33333333333	18126.66666666666
13928.33333333333	13225	17078.33333333333
13773.33333333333	13258.33333333333	16280
13668.33333333333	13053.33333333333	15731.66666666666
13645	13045	15413.33333333333
13396.66666666666	12925	14740
13408.33333333333	12916.66666666666	14530
13466.66666666666	12720	14230
13598.33333333333	12703.33333333333	13830
13491.66666666666	12985	13490
13271.66666666666	12791.66666666666	13195
13346.66666666666	12973.33333333333	12861.66666666666
13280	12836.66666666666	12815
13396.66666666666	12791.66666666666	12685
13486.66666666666	12598.33333333333	12708.33333333333
13510	12426.66666666666	12503.33333333333
13271.66666666666	12568.33333333333	12526.66666666666
13078.33333333333	12381.66666666666	12265
13026.66666666666	12356.66666666666	12320
12778.33333333333	12206.66666666666	12238.33333333333
13023.33333333333	12001.66666666666	12251.66666666666
12861.66666666666	11980	12035
12518.33333333333	11873.33333333333	11973.33333333333
12548.33333333333	11548.33333333333	12163.33333333333
12436.66666666666	11463.33333333333	11986.66666666666
12216.66666666666	11280	11995
12320	11305	11960
12226.66666666666	11411.66666666666	11746.66666666666
12078.33333333333	11368.33333333333	12000
12211.66666666666	11185	11910
12281.66666666666	11215	11848.33333333333
12220	11193.33333333333	11905
12140	11035	11640
11891.66666666666	11118.33333333333	11795
11961.66666666666	11105	11670
12031.66666666666	10955	11481.66666666666
12055	10933.33333333333	11606.66666666666
11975	10835	11721.66666666666
11906.66666666666	10966.66666666666	11675
11893.33333333333	10935	11631.66666666666
11638.33333333333	11115	11521.66666666666
11888.33333333333	11190	11596.66666666666
11865	10883.33333333333	11655
11960	10895	11735
11670	10845	11655
11865	10941.66666666666	11588.33333333333
11580	10850	11681.66666666666
11705	10658.33333333333	11628.33333333333
11645	10850	11765
11803.33333333333	10946.66666666666	11658.33333333333
12013.33333333333	10881.66666666666	11720
11818.33333333333	10868.33333333333	11720
11893.33333333333	10695	11643.33333333333
11933.33333333333	10835	11796.66666666666
11850	10833.33333333333	11810
11860	10768.33333333333	11943.33333333333
11736.66666666666	10803.33333333333	11723.33333333333
11886.66666666666	11061.66666666666	11606.66666666666
11775	10855	11695
11836.66666666666	10690	11715
11760	10761.66666666666	11856.66666666666
11798.33333333333	10680	11833.33333333333
11936.66666666666	10750	11856.66666666666
		11705
		11585
		11703.33333333333
		11906.66666666666
		12066.66666666666
		12068.33333333333
		11748.33333333333
		12353.33333333333
		12086.66666666666
		12068.33333333333
		12181.66666666666
		12255
		12410
		12358.33333333333
		12256.66666666666
		12086.66666666666
		12231.66666666666
		12265
		12295
		12298.33333333333
		12276.66666666666
		12283.33333333333
		12195
		12223.33333333333
		12215
		12125
		12340
		12286.66666666666
		12071.66666666666
		12158.33333333333
		12080
		12045
		12038.33333333333
		11773.33333333333
		11665
		11861.66666666666
		11746.66666666666
		11655
		11621.66666666666
		11758.33333333333
		11355
		11553.33333333333
		11448.33333333333
		11350
		11250
		11526.66666666666
		11381.66666666666
		11286.66666666666
		11403.33333333333
		11095
		11118.33333333333
		10920
		10988.33333333333
		10741.66666666666
		10848.33333333333
		11006.66666666666
		11003.33333333333
		10938.33333333333
		10861.66666666666
		10978.33333333333
		10826.66666666666
		10935
		10643.33333333333
		10750
		10616.66666666666
		10855
		10610
		10698.33333333333
		10715
		10651.66666666666
		10921.66666666666
		10861.66666666666
		10725
		10795
		10596.66666666666
		10650
		10633.33333333333
		10650
		10718.33333333333
		10711.66666666666
		10635
		10466.66666666666
		10605
		10741.66666666666
		10881.66666666666
		10808.33333333333
		10598.33333333333
		10758.33333333333
		10603.33333333333
		10618.33333333333
		10606.66666666666
		10571.66666666666
		10541.66666666666
		10591.66666666666
		10720
		10616.66666666666
		10796.66666666666
		10686.66666666666
		10606.66666666666
		10640
